preset,model,layout,transform,method,initial_mean,final_mean,sd_mean,initial_high,final_high,final_bad,final_middle,final_best16
bell,independent,quality,reciprocal,tailrl,0.5000000000000001,0.46739794150165515,0.0005724530519803351,0.0057925738750420844,0.006683075868588905,0.1319641644749077,0.8613527596565035,0.766140094752163
bell,independent,quality,reciprocal,pkpo,0.5000000000000001,0.49023147928912264,0.00010709949694058894,0.0057925738750420844,0.006129707303516016,0.0834627274483027,0.9104075652481812,0.7647831543958411
bell,independent,quality,reciprocal,elite,0.5000000000000001,0.3006925054580876,0.02714929592208586,0.0057925738750420844,0.000923476490096654,0.32376204714380435,0.6753144763660992,0.4947290780871198
bell,independent,binary,identity,rloo,0.0057925738750420844,0.006310094112235243,0.00006515414358975134,0.0057925738750420844,0.006310094112235243,0.9936899058877646,0,0.09632097871778167
bell,independent,binary,identity,grpo,0.0057925738750420844,0.009240695762647343,0.0009549169797546618,0.0057925738750420844,0.009240695762647343,0.9907593042373527,0,0.13796901428866826
bell,independent,binary,identity,maxrl,0.0057925738750420844,0.6274126361749439,0.09721614588955248,0.0057925738750420844,0.6274126361749439,0.37258736382505625,0,0.9999969210211468
bell,independent,binary,identity,tailrl,0.0057925738750420844,0.6274126361749439,0.09721614588955248,0.0057925738750420844,0.6274126361749439,0.37258736382505625,0,0.9999969210211468
bell,independent,binary,identity,pkpo,0.0057925738750420844,0.009422618016981797,0.0009996234557832686,0.0057925738750420844,0.009422618016981797,0.9905773819830181,0,0.14049192094363971
bell,independent,binary,identity,elite,0.0057925738750420844,0.0062725064247298986,0.00002738538769243104,0.0057925738750420844,0.0062725064247298986,0.9937274935752702,0,0.09577415310848336
bell,independent,binary,log,rloo,0.0057925738750420844,0.006310094112235243,0.00006515414358975134,0.0057925738750420844,0.006310094112235243,0.9936899058877646,0,0.09632097871778167
bell,independent,binary,log,grpo,0.0057925738750420844,0.009240695762647343,0.0009549169797546618,0.0057925738750420844,0.009240695762647343,0.9907593042373527,0,0.13796901428866826
bell,independent,binary,log,maxrl,0.0057925738750420844,0.6274126361749439,0.09721614588955248,0.0057925738750420844,0.6274126361749439,0.37258736382505625,0,0.9999969210211468
bell,independent,binary,log,tailrl,0.0057925738750420844,0.6274126361749439,0.09721614588955248,0.0057925738750420844,0.6274126361749439,0.37258736382505625,0,0.9999969210211468
bell,independent,binary,log,pkpo,0.0057925738750420844,0.009422618016981797,0.0009996234557832686,0.0057925738750420844,0.009422618016981797,0.9905773819830181,0,0.14049192094363971
bell,independent,binary,log,elite,0.0057925738750420844,0.0062725064247298986,0.00002738538769243104,0.0057925738750420844,0.0062725064247298986,0.9937274935752702,0,0.09577415310848336
bell,independent,binary,square,rloo,0.0057925738750420844,0.006310094112235243,0.00006515414358975134,0.0057925738750420844,0.006310094112235243,0.9936899058877646,0,0.09632097871778167
bell,independent,binary,square,grpo,0.0057925738750420844,0.009240695762647343,0.0009549169797546618,0.0057925738750420844,0.009240695762647343,0.9907593042373527,0,0.13796901428866826
bell,independent,binary,square,maxrl,0.0057925738750420844,0.6274126361749439,0.09721614588955248,0.0057925738750420844,0.6274126361749439,0.37258736382505625,0,0.9999969210211468
bell,independent,binary,square,tailrl,0.0057925738750420844,0.6274126361749439,0.09721614588955248,0.0057925738750420844,0.6274126361749439,0.37258736382505625,0,0.9999969210211468
bell,independent,binary,square,pkpo,0.0057925738750420844,0.009422618016981797,0.0009996234557832686,0.0057925738750420844,0.009422618016981797,0.9905773819830181,0,0.14049192094363971
bell,independent,binary,square,elite,0.0057925738750420844,0.0062725064247298986,0.00002738538769243104,0.0057925738750420844,0.0062725064247298986,0.9937274935752702,0,0.09577415310848336
bell,independent,binary,ranknormal,rloo,0.0057925738750420844,0.006891626809123352,0.0001809228493739701,0.0057925738750420844,0.006891626809123352,0.9931083731908766,0,0.10474356759094698
bell,independent,binary,ranknormal,grpo,0.0057925738750420844,0.00924069585069634,0.0009549170092549706,0.0057925738750420844,0.00924069585069634,0.9907593041493038,0,0.13796901551043136
bell,independent,binary,ranknormal,maxrl,0.0057925738750420844,0.6274126361749439,0.09721614588955248,0.0057925738750420844,0.6274126361749439,0.37258736382505625,0,0.9999969210211468
bell,independent,binary,ranknormal,tailrl,0.0057925738750420844,0.9291279227539667,0.015788737284424093,0.0057925738750420844,0.9291279227539667,0.0708720772460331,0,0.999999999999997
bell,independent,binary,ranknormal,pkpo,0.0057925738750420844,0.02082025690201018,0.00811868663470565,0.0057925738750420844,0.02082025690201018,0.9791797430979899,0,0.28184885957060307
bell,independent,binary,ranknormal,elite,0.0057925738750420844,0.0062725064247298986,0.00002738538769243104,0.0057925738750420844,0.0062725064247298986,0.9937274935752702,0,0.09577415310848336
bell,independent,binary,reciprocal,rloo,0.0057925738750420844,0.005389941965150331,0.000029585292356890242,0.0057925738750420844,0.005389941965150331,0.9946100580348496,0,0.08283900124220427
bell,independent,binary,reciprocal,grpo,0.0057925738750420844,0.004414488844336587,0.0001327889088114752,0.0057925738750420844,0.004414488844336587,0.9955855111556634,0,0.06833946176902488
bell,independent,binary,reciprocal,maxrl,0.0057925738750420844,0.6274126361749439,0.09721614588955248,0.0057925738750420844,0.6274126361749439,0.37258736382505625,0,0.9999969210211468
bell,independent,binary,reciprocal,tailrl,0.0057925738750420844,0.005386030063585928,0.000028930135167480533,0.0057925738750420844,0.005386030063585928,0.994613969936414,0,0.08278128579796162
bell,independent,binary,reciprocal,pkpo,0.0057925738750420844,0.005792573875042086,0,0.0057925738750420844,0.005792573875042086,0.9942074261249583,0,0.08876153522934993
bell,independent,binary,reciprocal,elite,0.0057925738750420844,0.005762664962799538,0.000023156923928705444,0.0057925738750420844,0.005762664962799538,0.9942373350372007,0,0.08832278960399002
bell,independent,code,identity,rloo,0.2886918618691717,0.30969107396734263,0.0004796726304168042,0.0005143181739659886,0.0004929652863841189,0.14171909121176876,0.857787943501847,0.4721348917059913
bell,independent,code,identity,grpo,0.2886918618691717,0.34699359169370875,0.0019058544791117126,0.0005143181739659886,0.00041533387968797154,0.05139476105735279,0.9481899050629594,0.5174007879146929
bell,independent,code,identity,maxrl,0.2886918618691717,0.2885862761002124,0.0001108469172826215,0.0005143181739659886,0.0006865494421479496,0.20205462041514125,0.7972588301427108,0.4728799056426511
bell,independent,code,identity,tailrl,0.2886918618691717,0.33890595918279387,0.005296358112372964,0.0005143181739659886,0.0006886227771003283,0.14234684807681075,0.8569645291460889,0.6237721811279574
bell,independent,code,identity,pkpo,0.2886918618691717,0.29155630764392976,0.0005106301586362214,0.0005143181739659886,0.0005725577450820595,0.2028200595517112,0.7966073827032067,0.503581413460113
bell,independent,code,identity,elite,0.2886918618691717,0.32838100736814413,0.00036818945445182003,0.0005143181739659886,0.00041913729247602445,0.08431299109746541,0.9152678716100583,0.45654275948197287
bell,independent,code,log,rloo,0.2886918618691717,0.3189634963499468,0.0004934661957572992,0.0005143181739659886,0.0004605850431345277,0.11335830813628066,0.8861811068205849,0.46504741290556395
bell,independent,code,log,grpo,0.2886918618691717,0.3447873613368139,0.0010105464943703031,0.0005143181739659886,0.0003741028226011861,0.04575408493677493,0.9538718122406239,0.4840436038819382
bell,independent,code,log,maxrl,0.2886918618691717,0.2885862761002124,0.0001108469172826215,0.0005143181739659886,0.0006865494421479496,0.20205462041514125,0.7972588301427108,0.4728799056426511
bell,independent,code,log,tailrl,0.2886918618691717,0.33115469449202517,0.0006112375650319351,0.0005143181739659886,0.00057797035216329,0.11482277623895287,0.8845992534088838,0.5622346553051091
bell,independent,code,log,pkpo,0.2886918618691717,0.2916372905745189,0.00033764197242670954,0.0005143181739659886,0.0005507299313179071,0.19942372688599108,0.800025543182691,0.4933619520317018
bell,independent,code,log,elite,0.2886918618691717,0.32838100736814413,0.00036818945445182003,0.0005143181739659886,0.00041913729247602445,0.08431299109746541,0.9152678716100583,0.45654275948197287
bell,independent,code,square,rloo,0.2886918618691717,0.2977226834787115,0.0003709009187755807,0.0005143181739659886,0.0005194789132912508,0.1769582940427645,0.8225222270439443,0.4761300130959645
bell,independent,code,square,grpo,0.2886918618691717,0.362908988848283,0.01221684229352137,0.0005143181739659886,0.00048118211172855883,0.06547391980571891,0.9340448980825524,0.5885712296979841
bell,independent,code,square,maxrl,0.2886918618691717,0.2885862761002124,0.0001108469172826215,0.0005143181739659886,0.0006865494421479496,0.20205462041514125,0.7972588301427108,0.4728799056426511
bell,independent,code,square,tailrl,0.2886918618691717,0.3253553382477788,0.007108356360498887,0.0005143181739659886,0.0007876125102382192,0.1795934555927142,0.8196189318970474,0.6352930963780098
bell,independent,code,square,pkpo,0.2886918618691717,0.2907570316704227,0.0004905162225028537,0.0005143181739659886,0.0005838902957541731,0.2049985114102969,0.7944175982939491,0.5036948090192678
bell,independent,code,square,elite,0.2886918618691717,0.32838100736814413,0.00036818945445182003,0.0005143181739659886,0.00041913729247602445,0.08431299109746541,0.9152678716100583,0.45654275948197287
bell,independent,code,ranknormal,rloo,0.2886918618691717,0.3399522968152697,0.0003605636524329399,0.0005143181739659886,0.000444926372941887,0.06920400403048811,0.9303510695965699,0.5123506179449643
bell,independent,code,ranknormal,grpo,0.2886918618691717,0.3545512422177561,0.0031618338096282865,0.0005143181739659886,0.00043709724156006726,0.05576832340128454,0.9437945793571556,0.5600489702683923
bell,independent,code,ranknormal,maxrl,0.2886918618691717,0.2885862761002124,0.0001108469172826215,0.0005143181739659886,0.0006865494421479496,0.20205462041514125,0.7972588301427108,0.4728799056426511
bell,independent,code,ranknormal,tailrl,0.2886918618691717,0.5964576711622016,0.08895506722354977,0.0005143181739659886,0.00018156341946904287,0.025265266495936273,0.9745531700845946,0.6776098232875203
bell,independent,code,ranknormal,pkpo,0.2886918618691717,0.443858437152354,0.01676977946559079,0.0005143181739659886,0.00045719176897136295,0.10898004618572506,0.8905627620453035,0.6484302212344347
bell,independent,code,ranknormal,elite,0.2886918618691717,0.32838100736814413,0.00036818945445182003,0.0005143181739659886,0.00041913729247602445,0.08431299109746541,0.9152678716100583,0.45654275948197287
bell,independent,code,reciprocal,rloo,0.2886918618691717,0.14292113828479794,0.0006706043558866553,0.0005143181739659886,0.00039162619365956924,0.610012059496522,0.38959631430981845,0.43982220753284135
bell,independent,code,reciprocal,grpo,0.2886918618691717,0.010131484463836686,0.002094081230063662,0.0005143181739659886,0.0000400753416024064,0.9727344937380359,0.027225430920361643,0.13380714598897586
bell,independent,code,reciprocal,maxrl,0.2886918618691717,0.2885862761002124,0.0001108469172826215,0.0005143181739659886,0.0006865494421479496,0.20205462041514125,0.7972588301427108,0.4728799056426511
bell,independent,code,reciprocal,tailrl,0.2886918618691717,0.03490321574006647,0.005799491195995969,0.0005143181739659886,0.00012029248688216826,0.9057150167970137,0.0941646907161044,0.3058714171421696
bell,independent,code,reciprocal,pkpo,0.2886918618691717,0.15440241246238934,0.004282602509457987,0.0005143181739659886,0.00041109057559636037,0.5785695482269549,0.4210193611974488,0.44556322486045197
bell,independent,code,reciprocal,elite,0.2886918618691717,0.0310884539570651,0.003395696422070124,0.0005143181739659886,0.00011214317498731076,0.9161990605162424,0.08368879630877031,0.2901482359096477
bell,shared,quality,identity,rloo,0.5000000000000001,0.6821944011656266,0.0010994135021625614,0.0057925738750420844,0.03766437383852455,0.009065912267076894,0.9532697138943987,0.872857356966955
